"Economy","globalRank","Starting a Business","Dealing with Construction Permits","Getting Electricity","Registering Property","Getting Credit","Protecting Minority Investors","Paying Taxes","Trading across Borders","Enforcing Contracts","Resolving Insolvency"
"New Zealand","1","1","6","45","1","1","2","10","60","21","31"
"Singapore","2","3","8","16","21","32","7","8","45","1","27"
"Denmark","3","42","4","21","11","44","38","9","1","14","6"
"Hong Kong SAR, China","4","5","1","3","53","32","11","1","27","30","44"
"Korea, Rep.","5","11","10","2","40","60","23","24","33","2","11"
"Georgia","6","2","27","39","4","12","2","16","43","8","60"
"Norway","7","22","22","19","13","85","15","30","22","3","5"
"United States","8","53","26","54","38","3","50","37","36","16","3"
"United Kingdom","9","19","17","7","42","32","15","23","30","32","14"
"Macedonia, FYR","10","47","13","57","46","12","7","31","29","37","30"
"United Arab Emirates","11","25","5","1","7","44","15","2","98","9","75"
"Sweden","12","18","25","9","10","85","33","27","18","38","17"
"Taiwan, China","13","20","2","8","19","99","15","29","58","11","23"
"Lithuania","14","31","7","26","3","44","38","18","19","7","85"
"Malaysia","15","122","3","4","29","32","2","72","48","33","41"
"Estonia","16","15","14","46","6","44","83","14","17","13","47"
"Finland","17","43","34","25","28","60","72","11","34","46","2"
"Australia","18","7","9","52","50","8","64","26","103","5","20"
"Latvia","19","24","56","53","25","12","51","13","26","20","54"
"Mauritius","20","21","15","34","35","60","15","6","69","27","35"
"Iceland","21","59","71","13","15","73","30","33","53","31","12"
"Canada","22","3","63","121","34","12","11","19","50","96","13"
"Ireland","23","10","28","43","64","44","15","4","52","102","18"
"Germany","24","114","24","5","78","44","72","43","40","26","4"
"Azerbaijan","25","9","61","74","17","22","2","28","84","40","45"
"Austria","26","118","42","28","32","85","33","40","1","10","21"
"Thailand","27","39","67","6","66","44","15","59","59","35","24"
"Kazakhstan","28","36","35","76","18","60","1","56","102","4","37"
"Rwanda","29","51","106","68","2","3","14","35","88","78","58"
"Spain","30","86","78","48","58","73","30","34","1","23","19"
"Russian Federation","31","32","48","12","12","22","57","53","99","18","55"
"France","32","30","19","14","96","99","38","55","1","12","28"
"Poland","33","121","40","58","41","32","57","69","1","53","25"
"Portugal","34","57","60","32","36","112","64","39","1","35","16"
"Czech Republic","35","115","156","10","33","44","72","45","1","99","15"
"Netherlands","36","22","84","56","31","112","72","21","1","74","7"
"Belarus","37","29","46","20","5","85","51","99","25","29","72"
"Switzerland","38","77","69","11","16","73","110","20","39","55","46"
"Japan","39","93","44","22","48","85","64","97","56","52","1"
"Slovenia","40","38","120","23","56","112","30","41","1","110","9"
"Armenia","41","8","98","17","14","44","51","82","46","24","95"
"Slovak Republic","42","127","143","47","9","44","95","48","1","47","42"
"Turkey","43","78","59","60","39","32","26","80","42","19","109"
"Kosovo","44","13","100","113","37","12","95","44","51","50","50"
"Belgium","45","33","38","112","143","60","57","60","1","54","8"
"China","46","28","121","14","27","73","64","114","65","6","61"
"Moldova","47","14","172","81","22","44","33","35","35","69","68"
"Serbia","48","40","11","104","55","60","83","79","23","65","49"
"Israel","49","45","41","78","89","60","23","90","64","90","29"
"Montenegro","50","90","75","134","76","12","57","68","47","44","43"
"Italy","51","67","104","37","23","112","72","118","1","111","22"
"Romania","52","111","146","154","44","22","64","49","1","17","52"
"Hungary","53","82","110","122","30","32","110","86","1","22","65"
"Mexico","54","94","93","99","103","8","72","116","66","43","32"
"Brunei Darussalam","55","16","55","31","142","1","48","84","149","67","64"
"Chile","56","72","33","36","61","85","64","76","71","49","51"
"Cyprus","57","52","126","70","94","73","38","47","49","138","26"
"Croatia","58","123","159","61","51","85","38","89","1","25","59"
"Bulgaria","59","99","37","147","67","60","33","92","21","42","56"
"Morocco","60","34","18","59","68","112","64","25","62","68","71"
"Kenya","61","126","128","75","122","8","11","91","112","88","57"
"Bahrain","62","66","57","82","26","112","38","5","77","128","93"
"Albania","63","50","151","140","98","44","26","122","24","98","39"
"Puerto Rico (U.S.)","64","53","141","88","159","3","110","162","67","63","10"
"Colombia","65","100","89","80","59","3","15","146","133","177","40"
"Luxembourg","66","73","12","41","92","175","122","22","1","15","90"
"Costa Rica","67","142","74","38","47","12","122","57","73","121","134"
"Peru","68","125","54","67","45","32","51","120","110","70","88"
"Vietnam","69","104","21","27","60","32","89","131","100","62","133"
"Kyrgyz Republic","70","35","29","164","8","32","38","150","70","131","82"
"Ukraine","71","56","30","135","63","32","72","54","78","57","145"
"Greece","72","44","39","79","153","99","51","65","31","132","62"
"Indonesia","73","134","112","33","100","44","51","112","116","146","36"
"Mongolia","74","87","23","148","49","22","33","61","117","66","152"
"Jamaica","75","6","76","115","131","12","89","123","134","127","33"
"Uzbekistan","76","12","134","35","71","60","64","64","165","41","91"
"India","77","137","52","24","166","22","7","121","80","163","108"
"Oman","78","37","66","66","52","134","125","12","72","73","100"
"Panama","79","48","108","30","81","22","99","174","57","147","113"
"Tunisia","80","63","77","51","87","99","83","133","101","80","67"
"Bhutan","81","91","88","73","54","85","125","15","28","28","168"
"South Africa","82","134","96","109","106","73","23","46","143","115","66"
"Qatar","83","84","20","69","20","124","178","2","97","122","120"
"Malta","84","103","45","77","151","134","57","71","41","39","121"
"El Salvador","85","147","173","97","73","22","161","62","44","109","89"
"Botswana","86","157","31","133","80","85","83","51","55","134","81"
"Zambia","87","102","70","128","150","3","110","17","153","130","99"
"San Marino","88","113","72","18","101","144","177","42","20","82","105"
"Bosnia and Herzegovina","89","183","167","130","99","60","72","139","37","75","37"
"Samoa","90","41","90","65","65","112","83","74","151","86","140"
"Tonga","91","58","16","90","163","44","140","100","94","94","137"
"Saudi Arabia","92","141","36","64","24","112","7","78","158","59","168"
"St. Lucia","93","70","32","49","104","161","99","73","90","75","130"
"Vanuatu","94","132","147","107","79","32","110","58","147","136","98"
"Uruguay","95","65","155","55","115","73","132","101","152","100","70"
"Seychelles","96","145","118","118","62","134","110","31","95","129","73"
"Kuwait","97","133","131","95","69","134","72","7","159","77","115"
"Guatemala","98","89","122","44","86","22","174","102","83","176","156"
"Djibouti","99","96","101","119","110","161","2","108","145","140","48"
"Sri Lanka","100","83","65","84","140","124","38","141","93","164","92"
"Fiji","101","161","102","93","57","161","99","98","79","97","96"
"Dominican Republic","102","117","80","116","77","112","83","148","63","149","124"
"Dominica","103","69","82","50","168","144","99","75","89","83","134"
"Jordan","104","106","139","62","72","134","125","95","74","108","150"
"Trinidad and Tobago","105","76","125","41","158","60","57","166","130","174","77"
"Lesotho","106","119","171","157","108","85","110","108","38","95","126"
"Namibia","107","172","83","71","174","73","99","81","136","58","125"
"Papua New Guinea","108","143","124","72","121","44","89","111","140","173","142"
"Brazil","109","140","175","40","137","99","48","184","106","48","77"
"Nepal","110","107","148","137","88","99","72","158","82","154","83"
"Malawi","111","153","136","169","83","8","110","134","126","145","141"
"Antigua and Barbuda","112","131","97","63","120","161","99","144","108","34","132"
"Paraguay","113","151","79","101","74","124","140","127","127","91","103"
"Ghana","114","108","115","86","123","73","99","115","156","116","160"
"Solomon Islands","115","98","53","92","154","99","110","38","160","156","144"
"West Bank and Gaza","116","171","157","85","84","22","161","107","54","123","168"
"Eswatini","117","159","107","163","107","85","140","63","32","172","119"
"Bahamas, The","118","105","91","87","169","144","132","50","161","84","69"
"Argentina","119","128","174","103","119","85","57","169","125","107","104"
"Egypt, Arab Rep.","120","109","68","96","125","60","72","159","171","160","101"
"Honduras","121","154","116","153","95","12","140","164","123","152","143"
"Côte d'Ivoire","122","26","142","143","112","44","149","175","162","106","80"
"Ecuador","123","168","113","94","75","112","125","143","109","79","158"
"Philippines","124","166","94","29","116","184","132","94","104","151","63"
"Belize","125","162","119","91","135","172","132","52","111","133","87"
"Tajikistan","126","60","135","173","91","124","38","136","148","61","146"
"Uganda","127","164","145","175","126","73","110","87","119","71","112"
"Iran, Islamic Rep.","128","173","86","108","90","99","173","149","121","89","131"
"Barbados","129","101","154","114","129","144","168","93","132","170","34"
"St. Vincent and the Grenadines","130","88","49","98","171","161","99","103","81","56","168"
"Cabo Verde","131","116","43","155","70","134","165","77","114","45","168"
"Nicaragua","132","144","177","110","155","99","168","160","85","87","106"
"Palau","133","129","95","149","43","99","180","106","137","126","166"
"Guyana","134","97","164","165","117","85","99","119","146","93","162"
"Mozambique","135","174","64","100","133","161","140","125","91","167","84"
"Pakistan","136","130","166","167","161","112","26","173","142","156","53"
"Togo","137","74","133","105","127","144","149","172","129","137","86"
"Cambodia","138","185","179","141","124","22","110","137","115","182","79"
"Maldives","139","71","62","145","175","134","132","117","155","125","139"
"St. Kitts and Nevis","140","95","47","102","185","161","122","124","68","51","168"
"Senegal","141","64","140","127","118","144","140","171","139","142","94"
"Lebanon","142","146","170","124","105","124","140","113","150","135","151"
"Niger","143","27","158","162","111","144","149","161","124","119","114"
"Tanzania","144","163","150","83","146","60","131","167","183","64","117"
"Mali","145","110","109","159","141","144","149","165","92","159","97"
"Nigeria","146","120","149","171","184","12","38","157","182","92","149"
"Grenada","147","85","130","89","146","144","132","142","135","80","168"
"Mauritania","148","46","92","151","102","144","110","178","141","72","168"
"Gambia, The","149","169","123","160","132","134","165","169","113","117","128"
"Marshall Islands","150","75","73","132","187","99","180","70","75","103","167"
"Burkina Faso","151","79","58","181","145","144","149","153","120","165","107"
"Guinea","152","111","50","146","138","144","149","181","167","118","116"
"Benin","153","61","51","176","130","144","149","176","107","171","110"
"Lao PDR","154","180","99","156","85","73","174","155","76","162","168"
"Zimbabwe","155","176","176","166","109","85","95","145","157","168","159"
"Bolivia","156","178","160","111","148","134","149","186","96","113","102"
"Algeria","157","150","129","106","165","178","168","156","173","112","76"
"Kiribati","158","149","117","170","149","172","125","96","131","120","168"
"Ethiopia","159","167","168","131","144","175","178","130","154","60","148"
"Micronesia, Fed. Sts.","160","170","137","117","187","99","185","110","61","184","123"
"Madagascar","161","81","183","185","162","124","99","132","138","150","136"
"Sudan","162","156","105","120","93","161","168","163","185","144","118"
"Sierra Leone","163","55","182","178","167","161","89","88","166","105","161"
"Comoros","164","164","85","139","114","124","149","168","118","179","168"
"Suriname","165","182","114","138","160","178","168","105","87","187","138"
"Cameroon","166","92","132","129","176","73","140","182","186","166","127"
"Afghanistan","167","49","184","168","186","99","26","177","177","181","74"
"Burundi","168","17","162","183","97","178","132","138","169","158","147"
"Gabon","169","124","144","161","178","124","161","183","170","180","129"
"São Tomé and Príncipe","170","148","111","125","173","161","188","135","122","185","168"
"Iraq","171","155","103","126","113","186","125","129","181","143","168"
"Myanmar","171","152","81","144","136","178","185","126","168","188","164"
"Angola","173","139","87","152","170","184","89","104","174","186","168"
"Liberia","174","80","185","172","182","112","180","67","179","175","111"
"Guinea-Bissau","175","158","178","180","128","144","140","154","144","169","168"
"Bangladesh","176","138","138","179","183","161","89","151","176","189","153"
"Equatorial Guinea","177","184","163","150","164","124","149","179","175","101","168"
"Timor-Leste","178","68","161","123","187","172","99","140","104","190","168"
"Syrian Arab Republic","179","136","186","158","157","175","95","85","178","161","163"
"Congo, Rep.","180","179","127","182","177","134","149","185","184","155","122"
"Chad","181","186","153","177","134","144","161","188","172","153","154"
"Haiti","182","189","180","142","181","178","188","147","86","124","168"
"Central African Republic","183","181","181","184","172","144","149","187","163","183","154"
"Congo, Dem. Rep.","184","62","165","174","156","144","165","180","188","178","168"
"South Sudan","185","177","169","187","179","178","180","66","180","85","168"
"Libya","186","160","186","136","187","186","185","128","128","141","168"
"Yemen, Rep.","187","175","186","187","81","186","132","83","189","139","157"
"Venezuela, RB","188","190","152","186","138","124","180","189","187","148","165"
"Eritrea","189","187","186","187","180","186","174","152","189","103","168"
"Somalia","190","188","186","187","152","186","190","190","164","114","168"
